"056","0001","002","BLAC","BJ","1041 C/Doble","$",,,,,,,,,,,,,"41000","39500","38000","36000",,,,,,,,,
"006","0045","001","CHEVROLET","Camiones","14000 Turbo Diesel","$",,,,,,,,,,,,"114000","110000","106000","100000","94000","91000","87000",,,,,,,
"006","0045","005","CHEVROLET","Camiones","6000 Turbo Diesel","$",,,,,,,,,,,,,"84000","78000","75000","73000","70000","67000",,,,,,,
"006","0045","004","CHEVROLET","Camiones","6-150 Turbo Diesel","$",,,,,,,,,,,"100000","96000","92000","85000","82000",,,,,,,,,,
"006","0045","007","CHEVROLET","Camiones","NPR","$",,,,,,,,,,,"87000","83000","81000","75000","72000","70000",,,,,,,,,
"006","0045","006","CHEVROLET","Camiones","NKR 3.1","$",,,,,,,,,,,"77000","73000","70000",,,,,,,,,,,,
"006","0045","008","CHEVROLET","Camiones","Kodiac (14-190)","$",,,,,,,,,"151000","148000","144000","138000","134000","121000","116000","112000",,,,,,,,,
"006","0045","002","CHEVROLET","Camiones","15-190","$",,,,,,,,,,,"147000","143000","138000",,,,,,,,,,,,
"006","0045","003","CHEVROLET","Camiones","16-220","$",,,,,,,,,"154000","151000","149000","147000","140000",,,,,,,,,,,,
"011","0011","001","DAIHATSU","Camión Delta","V 116 c/Caja","$",,,,,,,,,"63000","61000","58000","56000","53000","50000","47000","42000","40000","36000",,,,,,,
"011","0011","002","DAIHATSU","Camión Delta","V 116 s/Caja","$",,,,,,,,,"60000","58000","56000","54000","50000","47000","45000","41000","39000","35000",,,,,,,
"011","0011","003","DAIHATSU","Camión Delta","V 118 c/Caja volcador","$",,,,,,,,,"65000","63000","60000","58000","55000","52000",,,,,,,,,,,
"011","0011","004","DAIHATSU","Camión Delta","V 118 s/Caja","$",,,,,,,,,"60000","59000","56000","53000","50000",,,,,,,,,,,,
"011","0012","003","DAIHATSU","Furgón Delta","Route Techo Alto","$",,,,,,,,,"54000","52000","49000","47000","45000",,,,,,,,,,,,
"011","0012","004","DAIHATSU","Furgón Delta","Route Techo Bajo","$",,,,,,,,,"52000","50000","46000","45000","42000",,,,,,,,,,,,
"011","0012","002","DAIHATSU","Furgón Delta","Hijet Van","$",,,,,,,,,,,,,,,,"30000","27000",,,,,,,,
"011","0012","001","DAIHATSU","Furgón Delta","Hijet","$",,,,,,,,,,,,,,,,"35000","32000","29000","27000","25000",,,,,
"011","0013","001","DAIHATSU","Minibus","24 Px Base","$",,,,,,,,,,"58000","55000","51000",,,,,,,,,,,,,
"011","0013","002","DAIHATSU","Minibus","24 Px Full","$",,,,,,,,,,"62000","58000","54000",,,,,,,,,,,,,
"011","0013","004","DAIHATSU","Minibus","Porter","$",,,,,,,,,,,,,,"40000","38000",,,,,,,,,,
"011","0013","003","DAIHATSU","Minibus","Pick Up","$",,,,,,,,,,,,,,,"35000",,,,,,,,,,
"057","0001","002","DEUTZ AGRALE","Agrale-Dynamic","Cab.simple Chasis cto.","$",,,,,,,,,,,,,"68000","63000","58000","53000","50000","46000","43000","40000",,,,,
"057","0001","003","DEUTZ AGRALE","Agrale-Dynamic","Cab.simple Chasis lgo.","$",,,,,,,,,,,,,"72000","65000","63000","58000","53000","50000","46000",,,,,,
"057","0001","004","DEUTZ AGRALE","Agrale-Dynamic","C/Doble Chasis cto.","$",,,,,,,,,,,,,"73000","67000","63000","57000","52000","47000","42000",,,,,,
"057","0002","001","DEUTZ AGRALE","Agrale-Stark","Cab.simple Chasis cto.","$",,,,,,,,,,,,,"70000","63000","57000","54000","50000",,,,,,,,
"057","0002","002","DEUTZ AGRALE","Agrale-Stark","Cab.simple Chasis cto. Turbo","$",,,,,,,,,,,,,"73000","67000","63000","57000","52000",,,,,,,,
"057","0002","004","DEUTZ AGRALE","Agrale-Stark","Cab.simple Chasis lgo.","$",,,,,,,,,,,"75000","70000","66000","63000","58000","53000","50000",,,,,,,,
"057","0002","005","DEUTZ AGRALE","Agrale-Stark","Cab.simple Chasis lgo. Turbo","$",,,,,,,,,,,"82000","80000","78000","76000","65000","62000","59000",,,,,,,,
"057","0002","003","DEUTZ AGRALE","Agrale-Stark","Cab.simple Chasis cto.Turbo c/3 eje neum.","$",,,,,,,,,,,"74000","72000","70000","66000","58000",,,,,,,,,,
"057","0003","003","DEUTZ AGRALE","Stallion","15-160 Chasis cto.","$",,,,,,,,,,,,"100000","98000","88000",,,,,,,,,,,
"057","0003","004","DEUTZ AGRALE","Stallion","15-160 Chasis lgo.","$",,,,,,,,,,,,"105000","100000","95000",,,,,,,,,,,
"057","0003","001","DEUTZ AGRALE","Stallion","12-130 Chasis cto.","$",,,,,,,,,,,"98000","90000","85000",,,,,,,,,,,,
"057","0003","002","DEUTZ AGRALE","Stallion","12-130 Chasis lgo.","$",,,,,,,,,,,"105000","100000","95000",,,,,,,,,,,,
"058","0002","001","DIMEX","Camiones","D 1316 Euro II 4x2 (160cv)","$",,,,,,,,,,,,"136000","132000","128000","124000","121000",,,,,,,,,
"058","0002","002","DIMEX","Camiones","D 1416 Euro II 4x2 (160cv)","$",,,,,,,,,"153000","148000","144000","140000","135000","130000",,,,,,,,,,,
"058","0002","003","DIMEX","Camiones","D 1418 Euro II 4x2 (175cv)","$",,,,,,,,,,,,"143000","140000","135000","130000","125000",,,,,,,,,
"058","0002","004","DIMEX","Camiones","D 1619 Euro II 4x2 (175cv)","$",,,,,,,,,,,,,"141000","138000","135000","132000",,,,,,,,,
"058","0002","005","DIMEX","Camiones","D 1625 Euro II 4x2 (250cv)","$",,,,,,,,,,,,,"143000","140000","137000","134000",,,,,,,,,
"058","0002","006","DIMEX","Camiones","D 1721 N/T Euro II 4x2 (208cv)","$",,,,,,,,,,,"155000","150000","145000","140000",,,,,,,,,,,
"058","0002","007","DIMEX","Camiones","D 1725 N/T Euro II 4x2 (250cv)","$",,,,,,,,,,,"158000","154000","150000","145000",,,,,,,,,,,
"058","0002","011","DIMEX","Camiones","D 1730 Euro II 4x2 (310cv)","$",,,,"185000","180000","175000",,,,,,,,,,,,,,,,,,,
